"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
200,0.875,0.816325,00000100110111101111000010000000011100100101100000000110010000100110011110101000110000001010111110101010
201,0.875,0.814525,00000100110011011000000010000000011001111111101101000110010000100110010111111001101000001001011101011010
202,0.875,0.81675,00000100111111010101000010000010010001100100110100000110010000100110011000011001111000110110101011111010
203,0.875,0.824,00000100110011011100000010000001110011101100101100000110010000100110010100101101010110001010011011011010
204,0.875,0.8149375,00000100111001000101000010000000001011000111011010000110010000100110011100111010010101100010110111011010
205,0.875,0.8158875,00000100111111001101000010000011010010000100100000000110010000100110010101011001111011110001100010001010
206,0.875,0.8129,00000100111110001011000010000000100001101100111111000110010000100110010000001010111001001110110111011010
207,0.875,0.8120375,00000100110100001111000010000000011000000010000100000110010000100110011011111101010111101011110001011010
208,0.875,0.81525,00000100111111001101000010000010000011111100111000000110010000100110011100100001101100001010101101011010
209,0.875,0.819125,00000100111000111101000010000000000001101000111011000110010000100110011100010100011001001000111010111010
210,0.875,0.8208375,00000100110101010000000010000010001000000100000100000110010000100110010110101010010011011001011111011010
211,0.875,0.815325,00000100111110101111000010000000010001101100110010000110010000100110010110101010010001010111100011011010
212,0.875,0.823775,00000100111111111001000010000000010110001000101000000110010000100110010101100000100001011011011101101010
213,0.875,0.813725,00000100110111011010000010000000000001110100101110000110010000100110011001111000000001000011011001001010
214,0.875,0.8163375,00000100110100110110000010000001000110001101110110000110010000100110011100101010011011011011101000001010
215,0.875,0.81635,00000100111110101100000010000010001000111001101000000110010000100110011010111011101001010111010000011010
216,0.875,0.8207125,00000100111001101010000010000011000001100101001000000110010000100110011101101000010000111010100100011010
217,0.875,0.8134625,00000100110011101110000010000000001110001101010100000110010000100110011001101111010110011111010111001010
218,0.875,0.8144375,00000100111111000101000010000011110001101100001110000110010000100110010100101100100001011011011101011010
219,0.875,0.8221,00000100110011001010000010000011010000011000101110000110010000100110010101101110010110011100001011011010
220,0.875,0.8157375,00000100111100101011000010000000011101001101111010000110010000100110011101100001101100001110010010101010
221,0.875,0.8136875,00000100111010001100000010000001011000000100101100000110010000100110011000011011100110001101101111001010
222,0.875,0.817875,00000100110111011101000010000000001000000100101001000110010000100110011000000001010011010001111110001010
223,0.875,0.821825,00000100110100101111000010000000010001111100010100000110010000100110010100110010011001001000111010111010
224,0.875,0.8156,00000100110010011001000010000000000001001110010111000110010000100110011100001001000101001001101011101010
225,0.875,0.812625,00000100111001000110000010000000011110101110100000000110010000100110011100011000010001101111001110011010
226,0.875,0.818675,00000100111111000101000010000000110101011000000100000110010000100110011100101001010011010000011011001010
227,0.875,0.8222875,00001100011101110101000010000000111111001100100000000110010000100110010100011010011100001110110110011010
228,0.875,0.8159625,00000100111101001111000010000000011001001110111101000110010000100110011100001101100001111001111111001010
229,0.875,0.812575,00000100110111011101000010000010001101111100001100000110010000100110011101001100001111011001111110011010
230,0.875,0.818475,00000100111000001101000010000000010011101010110101000110010000100110011100001001010111000001010011111010
231,0.875,0.8182875,00000100111101110101000010000010101010110101111000000110010000100110011101010001010000101001011111001010
232,0.875,0.80995,00000100111111001101000010000000011111001000111110000110010000100110011000110001011110011110010011011010
233,0.875,0.81625,00000100110111001101000010000000010000101000111110000110010000100110010000111010011000001110110110001010
234,0.875,0.8147875,00000100110011011101000010000001000100001100011110000110010000100110010110101000010001010010110111111010
235,0.875,0.815725,00000100110011101111000010000000000011111000101101000110010000100110010100100110100011000111011111011010
236,0.875,0.8148,00000100110100111100000010000000100101101010111110000110010000100110011100101011011011011010011111011010
237,0.875,0.8189375,00000100111011000000000010000000111000101011101110000110010000100110011100001101010100000010101111011010
238,0.875,0.815875,00000100111101100001000010000011000001001101111110000110010000100110011111110001101001001010011011001010
239,0.875,0.817225,00000100111111010101000010000001010001010111101111000110010000100110010101100001100001001011001011001010
240,0.875,0.817325,00000100111111001001000010000000111000001110011101000110010000100110011000110001101001001101011100101010
241,0.875,0.816525,00000100110110000011000010000000110000001101110100000110010000100110010100100000010011001100000100101010
242,0.875,0.816075,00000100110111001100000010000001010100011011101110000110010000100110011001101101101001001001011100101010
243,0.875,0.8178375,00000100110011011110000010000000100001101100101110000110010000100110011111111001101011000110101111001010
244,0.875,0.8182875,00000100110011001100000010000000110100000100101100000110010000100110010100100101011000001100111100001010
245,0.875,0.8126625,00000100111001011001000010000000100100001100111010000110010000100110011001101101100000010011010011011010
246,0.875,0.8166875,00000100110000100000000010000000111101111101101100000110010000100110011001101101110100100011110000011010
247,0.875,0.8146625,00000100111101100001000010000000010001101100011000000110010000100110010000110010000001001011111111001010
248,0.875,0.8137875,00000100110101001101000010000001010010000100110100000110010000100110010101101000000101011001111110011010
249,0.875,0.8218375,00000100111011011101000010000001011000100011101000000110010000100110011111011010001101100010001101011010
250,0.875,0.8176125,00000100110110001100000010000001101100000110111110000110010000100110011001111001111100000011101001001010
251,0.875,0.818325,00000100110000000101000010000000000001011000100101000110010000100110011101110101111011000110101110001010
252,0.875,0.8169125,00000100110110101110000010000000111110001010000011000110010000100110011000011111110101011010110011001010
253,0.875,0.820925,00000100111111011100000010000001001101001110001000000110010000100110011100101000000001000011010011011010
254,0.875,0.8164375,00000100111011101010000010000001011001000100101110000110010000100110010010111101101001001011101110011010
255,0.875,0.813475,00000100111101010111000010000010101010110101001000000110010000100110011000100101110111101010111110001010
256,0.875,0.8196,00000100111110111100000010000001100001010000101001000110010000100110011001101101110011001111110011001010
257,0.875,0.8146,00000100110101111100000010000000111001001110001100000110010000100110010110101100110011110111101011001010
258,0.875,0.820025,00000100110100101111000010000000110101011110101000000110010000100110010110100010010000000011111111011010
259,0.875,0.82195,00000100111110000011000010000000110001001101110111000110010000100110011000011010010101001101010110111010
260,0.875,0.8141875,00000100110101111000000010000000011111101000111100000110010000100110011100000011101011110011001111011010
261,0.875,0.8177,00000100110111101101000010000000010101100011111100000110010000100110011000101001100010111010110001001010
262,0.875,0.8186875,00000100111101100011000010000001010011001010111010000110010000100110010010101010000111111000110111001010
263,0.875,0.816975,00000100110110000001000010000011111111001001011111000110010000100110010011101010001110010001010011111010
264,0.875,0.818075,00000100111101001001000010000001001100101110011000000110010000100110010100101000010001000011010010101010
265,0.875,0.822575,00000100110111000101000010000000101111100101011010000110010000100110011100101001100001001101111111101010
266,0.875,0.822375,00000100110101110100000010000000010000000000111100000110010000100110010011101100111111001011010111011010
267,0.875,0.8143,00000100110011111101000010000000010110101000101010000110010000100110010111101101000000000010110111101010
268,0.875,0.816725,00000100110010011001000010000001010001011001101101000110010000100110010101011101001110110101010011011010
269,0.875,0.819125,00000100110111000101000010000000101111100101011010000110010000100110011101100100100101001101010001101010
270,0.875,0.822875,00000100111110011110000010000011010001001101111101000110010000100110011100001000101011010011111001011010
271,0.875,0.81695,00000100110110001111000010000000111110001101111101000110010000100110011100000001011011001011110100001010
272,0.875,0.8171625,00000100111101110101000010000010100001010100110100000110010000100110011100101000000000001110110110001010
273,0.875,0.816425,00000100110100100001000010000010100001110000110100000110010000100110010100110000101100001001001011011010
