"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
211,0.6875,0.67095,00100111000010010110110011011001010000111100011100101101111000111101101101000011000111111100001100011101
212,0.6875,0.667425,10011101010101001101110100100100111001001110011111100110100100100001111100001000000001010100001000001101
213,0.6875,0.6693,11100011011101011000110010000000001001111111010111001011011000111101111101000011001111111000000000001101
214,0.6875,0.668975,00100101110110100100111111010001110110110101111100011010001000001011111111000011110101010000001000101101
215,0.6875,0.6651,10000110100011110101000010110011110011101100100100101101110001010100101110001010110001011100000100011101
216,0.6875,0.6707125,00101110111001010000010010111100101001000011010110010110111100001000000110100001010110100000001000001101
217,0.6875,0.66875,00001010110010111000101001111000110111011111000110101101101000100001111100100000010001111000000000111101
218,0.6875,0.66795,11001011110001011001011110011000110111001011011110110010110111101110101011001011111110111000001100011101
219,0.6875,0.6675875,01111110110000001111011011110110011000011000010001000011100100010111110110010000010000100000000000101101
220,0.6875,0.668425,00000000001000111101000100111100000011001011001001010010101010001111101110110011010100111000001100001101
221,0.6875,0.667625,11110111110111000001011101100011001110100011100010000000000001111010110111110010110000010000001100011101
222,0.6875,0.6678875,11100100011101010101001010000111111111010010110111110011110100100100111101010011010101101100001100011101
223,0.6875,0.666425,10011111011001010011110000000001100001001110000101110000000000001101110111101000000000010000000000111101
224,0.6875,0.6698875,11000110000010111001001100010101001010011011000001011010110100001011010010111001000100011000000100101101
225,0.6875,0.6686375,10110110101110101101000000101011100111110101111000011010101010101110011110000010011000011100001000001101
226,0.6875,0.669275,10101110111011101100111100101011001000001001001010111000001001000001101010101000110011100000001000011101
227,0.6875,0.66795,10000011110011011101000100101111000010000011010101000101110000101110101111000001100011100000001000001101
228,0.6875,0.669775,00100111010100011001011100000000110010111000001110110100000100100100110100001101110010010000001100001101
229,0.6875,0.6689,11010100010010001001011100011100000110011001100110110011011010011011010110110011110010110100000000101101
230,0.6875,0.6693125,01010110010110100010100101010100100100100101001100101011111000011110101110101000001010100100000000001101
231,0.6875,0.6679875,11100110111000001010001111001010010100011011100011111001011000001011100011000011110001111100001100011101
232,0.6875,0.6698125,11100111001110000010111010100001111110010101110100000010101111010111101010111000000011111000001000001101
233,0.6875,0.668,10110110100011011001010111010001100001001100010010110110000101111100011111111001101011100100001100011101
234,0.6875,0.6711125,00110111010110010110110011011100000111111011100010011110110000110101011100110010001010111000001100011101
235,0.6875,0.6686125,01110110010100010010010111100011010010001011010110100111001000101001000010100010100011100000001100001101
236,0.6875,0.6683125,11100100101011000001010011000010001110111001101000000101000010100011001100001011110111011100001100011101
237,0.6875,0.6696625,00000110010101001011011100100011100100011010101010110100000100100111101011000010100001100000001100011101
238,0.6875,0.6696375,10101000011011100110110011000001000010011100001011010010111000000000101010101010110010100100001000011101
239,0.6875,0.6713,10000000100111001101000001110000011101001011010010100110110010001011111010011101010110100100001000101101
240,0.6875,0.6680375,00010100001001011000110010100100110001111001111100110011101111010010110000000111011000010000000100011101
241,0.6875,0.669,00011111111100111001100001000001011010001111111000011110011010000011001001001000110010100100001000001101
242,0.6875,0.6677375,11001110010111100001000000111001100110000001001101101100010000000110100011111001011111100000001000001101
243,0.6875,0.66915,10110111111100101101000001101011100010101001100110011000111000011000000101000011011010111000001100111101
